market,page_type,primary_keyword,supporting_keywords,target_url
GTA,Homepage,home renovation gta,"general contractor gta | residential general contractor gta",https://loyaltycontracting.ca/
GTA,Service,full home renovation gta,,https://loyaltycontracting.ca/services/full-house-renovation.html
GTA,Service,kitchen renovation gta,,https://loyaltycontracting.ca/services/kitchen.html
GTA,Service,bathroom renovation gta,,https://loyaltycontracting.ca/services/bathroom.html
GTA,Service,basement renovation gta,,https://loyaltycontracting.ca/services/basement.html
GTA,Service,flooring installation gta,,https://loyaltycontracting.ca/services/flooring.html
Toronto,City Hub,home renovation toronto,,https://loyaltycontracting.ca/toronto/
Toronto,Service,kitchen renovation toronto,,https://loyaltycontracting.ca/toronto/kitchen-renovation/
Toronto,Service,bathroom renovation toronto,,https://loyaltycontracting.ca/toronto/bathroom-renovation/
Toronto,Service,basement renovation toronto,,https://loyaltycontracting.ca/toronto/basement-renovation/
Toronto,Service,flooring installation toronto,,https://loyaltycontracting.ca/toronto/flooring-installation/
Mississauga,City Hub,home renovation mississauga,,https://loyaltycontracting.ca/mississauga/
Mississauga,Service,kitchen renovation mississauga,,https://loyaltycontracting.ca/mississauga/kitchen-renovation/
Mississauga,Service,bathroom renovation mississauga,,https://loyaltycontracting.ca/mississauga/bathroom-renovation/
Mississauga,Service,basement renovation mississauga,,https://loyaltycontracting.ca/mississauga/basement-renovation/
Mississauga,Service,hardwood flooring mississauga,,https://loyaltycontracting.ca/mississauga/hardwood-flooring/
Brampton,City Hub,home renovation brampton,,https://loyaltycontracting.ca/brampton/
Brampton,Service,kitchen renovation brampton,,https://loyaltycontracting.ca/brampton/kitchen-renovation/
Brampton,Service,bathroom renovation brampton,,https://loyaltycontracting.ca/brampton/bathroom-renovation/
Brampton,Service,basement renovation brampton,,https://loyaltycontracting.ca/brampton/basement-renovation/
Brampton,Service,hardwood flooring brampton,,https://loyaltycontracting.ca/brampton/hardwood-flooring/
