date,market,keyword,target_url,clicks,impressions,ctr,avg_position,index_status,source,notes
2026-09-25,GTA,home renovation gta,https://loyaltycontracting.ca/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,GTA,full home renovation gta,https://loyaltycontracting.ca/services/full-house-renovation.html,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,GTA,kitchen renovation gta,https://loyaltycontracting.ca/services/kitchen.html,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,GTA,bathroom renovation gta,https://loyaltycontracting.ca/services/bathroom.html,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,GTA,basement renovation gta,https://loyaltycontracting.ca/services/basement.html,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,GTA,flooring installation gta,https://loyaltycontracting.ca/services/flooring.html,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Toronto,home renovation toronto,https://loyaltycontracting.ca/toronto/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Toronto,kitchen renovation toronto,https://loyaltycontracting.ca/toronto/kitchen-renovation/,0,16,0%,99.62,,GSC Canada - Last 3 months,Exact query present in GSC Canada export.
2026-09-25,Toronto,bathroom renovation toronto,https://loyaltycontracting.ca/toronto/bathroom-renovation/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Toronto,basement renovation toronto,https://loyaltycontracting.ca/toronto/basement-renovation/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Toronto,flooring installation toronto,https://loyaltycontracting.ca/toronto/flooring-installation/,0,1,0%,82.00,,GSC Canada - Last 3 months,Exact query present in GSC Canada export.
2026-09-25,Mississauga,home renovation mississauga,https://loyaltycontracting.ca/mississauga/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Mississauga,kitchen renovation mississauga,https://loyaltycontracting.ca/mississauga/kitchen-renovation/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Mississauga,bathroom renovation mississauga,https://loyaltycontracting.ca/mississauga/bathroom-renovation/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Mississauga,basement renovation mississauga,https://loyaltycontracting.ca/mississauga/basement-renovation/,0,2,0%,96.50,,GSC Canada - Last 3 months,Exact query present in GSC Canada export.
2026-09-25,Mississauga,hardwood flooring mississauga,https://loyaltycontracting.ca/mississauga/hardwood-flooring/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Brampton,home renovation brampton,https://loyaltycontracting.ca/brampton/,0,7,0%,88.14,,GSC Canada - Last 3 months,Exact query present in GSC Canada export.
2026-09-25,Brampton,kitchen renovation brampton,https://loyaltycontracting.ca/brampton/kitchen-renovation/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Brampton,bathroom renovation brampton,https://loyaltycontracting.ca/brampton/bathroom-renovation/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Brampton,basement renovation brampton,https://loyaltycontracting.ca/brampton/basement-renovation/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
2026-09-25,Brampton,hardwood flooring brampton,https://loyaltycontracting.ca/brampton/hardwood-flooring/,,,,,,GSC Canada - Last 3 months,Exact query not present in GSC Canada export; metrics intentionally left blank.
